sepal length,sepal width,petal length,petal width,class
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa
7,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
6,2.2,4,1,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3,5.8,2.2,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
6.5,3.2,5.1,2,Iris-virginica
6.5,3,5.5,1.8,Iris-virginica
6.1,3,4.9,1.8,Iris-virginica
7.2,3,5.8,1.6,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6,3,4.8,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
